sep=,
"country \ year","Most recent","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1972","1971","1970","1966"
"Ghana","8.1","","","","","","","","","","","","","","","","","","","","","8.1","8.1","8.1","","","","","","","","","","","","","","","","",""
"Gilbert and Ellice islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","35.2","","","","","","","35.2","","","","","","34.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hong-Kong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","35.5","","","","","","35.5","34.0","","","33.2","","","","","","34.3","34.3","34.3","","","","36.6","36.6","36.6","36.6","","","","","","","","","","","","","","",""
"Iceland","35.9","","","","","","","","35.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"India","3.8","","","","","","","","","","","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia 1960-1962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","28.6","","","","","28.6","32.0","","","","","25.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","32.7","","","","","","","","32.7","","","39.0","32.0","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Israel","39.3","","","","","","","","","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","","","","","","","","","","","","","","","","","","","","",""
"Italy","34.2","","","","","34.2","31.3","33.6","33.5","","","","","30.0","","","32.1","","","31.6","31.6","","","","","","","27.5","","","","","","","","","","","","",""
"Japan","20.3","","","","","","","","","20.3","","","20.0","","","20.0","19.0","19.0","19.0","19.0","18.9","18.9","18.9","18.9","18.9","18.4","18.4","18.4","18.4","18.4","17.1","17.1","17.1","17.1","17.1","","","","","",""
"Jordan","36.0","","","","","","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jordan 1960-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kiribati","30.9","","","","30.9","30.9","30.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","35.4","","","","","","","","","","35.4","35.4","35.4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","26.3","","","","","","","","","","","","","","","","","26.3","","","","","","","","","","","","","","","","","","","","","","",""
"Lao People's Democratic Republic","8.2","","","","","","","","","","","","","","","","8.2","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","29.6","","","","29.6","","26.5","","27.4","","31.3","","28.1","36.7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lebanon","45.0","","","","","","45.0","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lesotho","21.3","","","","","","","","","21.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","32.2","","","","32.2","","33.7","","33.1","","","","33.7","36.9","33.7","33.7","33.7","","","","","","","","","","","","","","","","","","","","","","","",""
"Macao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","9.6","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","31.6","","","","31.6","31.6","","26.7","26.7","","","","","","20.7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia 1963-1964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","41.6","","","41.6","41.6","","","40.3","34.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marshall Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mauritius","25.4","","","","","","25.4","","","","","","33.7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mayotte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Micronesia (Federated States of)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moldova, Republic of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","21.8","","","","","21.8","24.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","29.0","","","","","","","","","","","","","29.0","","","","","","","","","","","","","","","","","34.8","35.0","33.6","33.8","34.3","34.3","41.5","","","",""
"New Zealand","36.2","","","36.2","36.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria 1960-1961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Borneo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","35.0","35.0","35.0","","","35.0","","","25.4","","","","","","","","28.2","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied Palestinian Territory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","11.0","","","","","","","","","","","","","","","","11.0","11.0","11.0","11.0","11.0","","","","","","","","","","","","","","","","","","","",""
"Palau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Panama","32.7","","","","","","","","","","","32.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"People's Democratic Republic of Yemen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peru","39.1","","","","","","","","","","39.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","19.7","","","","","","","19.7","","","","","19.7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","34.2","","","","","","","","","34.2","34.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","39.4","","","","","39.4","39.4","39.4","","","","36.8","","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Korea","27.4","","","","","","","","","27.4","","","23.9","","","13.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","33.1","","","","","","","","","","33.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ruanda-Urundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint-Kitts-Nevis-Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sarawak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","36.9","","","","","","","","","","36.9","36.9","36.9","36.9","36.9","36.9","","","29.4","29.4","29.4","29.4","29.4","29.4","","","","","","","","","","","","","","","","",""
"Senegal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegambia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia and Montenegro","36.6","","","","","","","","","","36.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","30.7","","","","","","","","","","","","","","","","30.7","","","","","","","","","","","","","","","","","","","","","","","",""
"Singapore","25.6","","","","","","25.6","","","","","","","","","","","","21.1","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","32.4","","","","","","","","32.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","23.5","","","","","","","","","","","","23.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Vietnam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","37.8","","","37.8","37.8","","","35.7","","","","","","33.0","","","","","","","","44.9","","","","","","","","","","","","","","","","","","",""
"Sweden","33.0","33.0","","","","","","","","","","","","33.0","32.6","","","","","","","27.6","27.6","","","","","","","26.5","26.5","","","","","","","","","",""
"Switzerland","29.1","","","29.1","","","","","29.3","","25.2","","","25.6","","","","24.4","24.9","","","","","","","","","","","","","","","","","","","","","",""
"Tajikistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thailand","19.4","","","","","","","19.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trust Territories of the Pacific Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","26.6","","","","","","","","","","","","","26.6","26.6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","40.3","","","40.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkmenistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuvalu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Union of Soviet Socialist Republics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Arab Emirates","32.4","","","","","","","","","","32.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Arab Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","38.3","","","","","","","","38.3","37.1","37.1","42.7","","30.0","","","","","","","","35.4","","","","","","","28.3","","","","","","","","","18.5","","","11.1"
"United States of America","32.2","","","","32.2","32.2","34.1","34.1","34.6","34.6","35.1","33.6","","","","14.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uzbekistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vanuatu","33.0","","","","","","","","","","","","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Viet Nam","4.5","","","","","","","","","","4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vietnam, Democratic republic of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen 1960-1989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yugoslavia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yugoslavia 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","21.6","","","","","21.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
