;"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25";"BMI &gt;= 25"
;2014;2014;2014;2010;2010;2010
; 18+  years; 18+  years; 18+  years; 18+  years; 18+  years; 18+  years
Country; Both sexes; Female; Male; Both sexes; Female; Male
Afghanistan;16.2 [12.1-19.9];19.1 [14.1-25.2];13.4 [8.8-19.2];14.4 [11.4-17.5];16.9 [12.8-21.7];12 [8.3-16.4]
Albania;52.7 [47.1-57.9];47.9 [38.9-56.4];57.5 [49.5-65.4];50.5 [45.8-55.1];46.5 [39.6-53.2];54.5 [48.2-61]
Algeria;59.1 [54.5-64.1];62.6 [55.4-69.3];55.7 [48.2-62.9];56.4 [52.6-60.2];60.6 [55-65.8];52.4 [46.8-58.1]
Andorra;66.9 [62.2-72];61.9 [53.9-69.3];72 [65.5-77.8];65.2 [61.6-69];60.3 [54.3-66.1];70.2 [65.3-74.9]
Angola;30.9 [24.8-37.1];37.8 [29-47.1];23.9 [16.2-33];27.8 [22.6-33.4];34.6 [27.2-42.2];21 [14.9-27.9]
Antigua and Barbuda;61.9 [55.4-68.4];68.3 [59.1-76.7];55.4 [45.5-65.2];59.6 [54-64.6];66.4 [58.9-73.3];52.7 [44.7-60.5]
Argentina;61.7 [56.5-67.7];59.7 [51.7-67.4];63.9 [56.4-71];59 [54.8-63.2];57.3 [51-63.4];60.8 [54.8-66.6]
Armenia;55.5 [49.6-61.7];54.7 [46.7-62.7];56.3 [47.8-64.4];52.9 [47.8-57.4];53.2 [46.7-59.6];52.6 [45.7-59.5]
Australia;64 [60.6-67.9];58.1 [52.4-63.7];69.9 [64.7-75];61.6 [58.6-64.2];55.8 [51.6-59.9];67.6 [63.7-71.4]
Austria;53.1 [47.9-58.3];45.4 [38.2-52.8];61.1 [53.6-68.2];51.3 [47.7-55.6];43.8 [38.3-49.4];59.3 [53.6-64.7]
Azerbaijan;58.1 [51.7-64.1];58.7 [50.6-66.6];57.4 [48.5-65.8];54.2 [49-59.1];55.7 [48.9-62.3];52.7 [45.3-59.9]
Bahamas;69 [64.1-73.8];71.5 [64.4-77.8];66.3 [59.1-73.2];66.8 [62.7-70.8];69.9 [64.1-75.4];63.5 [57.7-69.3]
Bahrain;71.7 [67.4-76.2];74 [68.1-79.5];70.2 [63.9-76];69.4 [65.8-72.9];72.4 [67.6-76.7];67.7 [62.8-72.5]
Bangladesh;18.1 [14.4-21.9];21.3 [16.1-27.3];15 [10.3-20.6];16.1 [13.1-19];18.8 [14.9-23.3];13.5 [9.9-17.6]
Barbados;62.3 [56.4-68.7];67.4 [58.6-75.4];57.2 [47.4-66.3];59.8 [54.7-64.8];65.5 [58.6-72];54.1 [46.8-61.5]
Belarus;58 [52.5-64.2];55.2 [46.3-63.6];61.2 [53-69.2];55.1 [50.4-60];53.3 [46.1-60.1];57.2 [50.7-63.5]
Belgium;56.9 [51.6-62.1];48.4 [40.9-55.7];65.7 [59-72.1];55.2 [51.6-59];46.9 [41.1-52.6];63.8 [58.6-68.8]
Belize;53.8 [47.9-59.5];59.1 [51-67.1];48.5 [39.8-57.4];52 [47.5-56.5];57.6 [51.2-64];46.5 [39.9-53.3]
Benin;28.9 [24.3-33.1];37.7 [31.6-43.8];20 [14.7-25.9];26.5 [23.4-29.5];34.6 [30-39.2];18.4 [14.6-22.8]
Bhutan;27.1 [22.3-31.7];30 [23.7-37];24.6 [18.2-32.1];24.3 [20.5-28.1];27.1 [22-32.5];21.8 [16.8-27.4]
Bolivia (Plurinational State of);52.1 [45.8-58.1];56 [48.2-64];48.2 [39.8-56.8];49.5 [44.6-54.4];53.6 [47.2-59.9];45.3 [38.5-52.5]
Bosnia and Herzegovina;51.8 [44.8-58];48.5 [39.2-57.4];55.4 [46.6-64];50.5 [45.4-56.2];48.1 [40.6-55.4];53 [45.9-60.1]
Botswana;48 [42-53.7];59 [51-67];37.1 [28.7-46.2];44.2 [39.5-49.1];55.4 [48.6-62.1];33.1 [26.5-40.1]
Brazil;54.1 [48.7-59.3];52.8 [45.7-59.8];55.6 [48.2-62.8];51.1 [47.2-55.1];50.3 [45-55.7];51.9 [46.4-57.5]
Brunei Darussalam;47 [40.2-54.5];46.5 [37.1-55.7];47.5 [37.7-57.6];44.6 [38.8-50.6];45 [37.1-52.5];44.3 [36.3-52.5]
Bulgaria;59.1 [53-64.9];54.4 [45.3-63];64.1 [56.2-71.3];57.1 [53-61.4];52.8 [45.9-59.7];61.6 [55.6-67.5]
Burkina Faso;23.6 [19.6-27.6];29.8 [24.1-36];17.4 [12.4-23.2];22 [18.9-25];27.5 [23.1-31.9];16.4 [12.6-20.7]
Burundi;15.5 [12.2-19.1];22.6 [16.8-28.9];8.2 [4.7-12.9];14 [10.9-17.3];20.1 [15.6-25.1];7.7 [4.7-11.4]
C̫te d'Ivoire;30.6 [26-35.2];37.7 [31.6-44.2];23.7 [17.5-30.4];28.4 [24.8-31.8];35.1 [30.5-40];21.9 [17.4-26.9]
Cabo Verde;36.9 [31.8-41.7];41.9 [34.9-48.9];31.8 [24.8-39.2];33.6 [30-37.4];38.8 [33.4-44.2];28.4 [23.2-33.9]
Cambodia;17.6 [13.8-21.3];21.9 [16.4-28.1];13.1 [8.7-18.6];15.4 [12.7-18.4];19.1 [15.1-23.3];11.5 [8.4-15.2]
Cameroon;33.5 [28.6-37.9];41.8 [35.7-48.2];25.1 [18.5-32.3];31 [27.6-34.4];38.7 [34.1-43.7];23.3 [18.5-28.5]
Canada;64.4 [60.2-68.2];59.8 [53.5-65.7];69 [63.2-74.5];62.6 [59.6-65.6];58.1 [53.4-62.5];67.2 [63-71.2]
