sep=,
"Ethiopia PDR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federal Republic of Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of Malaya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of Rhodesia and Nyasaland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of South Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of West Indies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fiji","23.9","","","","","","23.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","15.7","","15.7","","","14.1","14.0","12.7","11.8","22.5","22.5","10.1","10.6","10.0","10.6","10.6","10.6","","","","","","","","","","","","","","","","","","","","","","11.6","11.6","11.6","11.6","11.6","11.6","11.6","","",""
"France","16.9","","","16.9","12.4","","","11.3","","","9.6","","","7.0","","","","","7.1","7.1","","","","","","","","","","6.3","6.3","","","","","","","","","","","","","","","","",""
"French Polynesia","40.9","","","","","","","","","","","","","","","40.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gambia","2.3","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"German Democratic Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","12.9","","","","","","","12.9","18.1","19.4","19.4","20.3","22.0","11.0","19.4","19.4","19.4","19.4","20.1","18.6","18.6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ghana","3.1","","","","","","","","","","","","","","","","","","","","","3.1","3.1","3.1","","","","","","","","","","","","","","","","","","","","","","","",""
"Gilbert and Ellice islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
